Channel ID,Channel URL,Channel title
UC_gUM8rL-Lrg6O3adPW9K1g,http://www.youtube.com/channel/UC_gUM8rL-Lrg6O3adPW9K1g,WION
UC_hukbByJP7OZ3Xm2tszacQ,http://www.youtube.com/channel/UC_hukbByJP7OZ3Xm2tszacQ,Jeffrey Kaplan
UC_iUeUzozCHEReJ-shKcCYA,http://www.youtube.com/channel/UC_iUeUzozCHEReJ-shKcCYA,Internet Anarchist
UCa6vGFO9ty8v5KZJXQxdhaw,http://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live
UCacyjzI1Kjtr-u7-aaF1x7A,http://www.youtube.com/channel/UCacyjzI1Kjtr-u7-aaF1x7A,MHS (Golden Story)
UCaiRK8HOPpj3v-WuUsAFUZg,http://www.youtube.com/channel/UCaiRK8HOPpj3v-WuUsAFUZg,World Tour
UCaqulpYbNFAr-BzezBLgTJA,http://www.youtube.com/channel/UCaqulpYbNFAr-BzezBLgTJA,Lastly
UCb7fZdCnbt3AqnjgoNyT6UQ,http://www.youtube.com/channel/UCb7fZdCnbt3AqnjgoNyT6UQ,Space Matters
UCbf1YJaSqs1kWbGTxDvPF5w,http://www.youtube.com/channel/UCbf1YJaSqs1kWbGTxDvPF5w,Montobbo
UCblfuW_4rakIf2h6aqANefA,http://www.youtube.com/channel/UCblfuW_4rakIf2h6aqANefA,Red Bull
UCbxHHMNA-oe9PCv2aWG5U2Q,http://www.youtube.com/channel/UCbxHHMNA-oe9PCv2aWG5U2Q,তথ্যপিডিয়া
UCc2-xT3ub5IhGoYae8-GjWA,http://www.youtube.com/channel/UCc2-xT3ub5IhGoYae8-GjWA,Dark Science
UCcAVvTTQHgyPAcjpJoXdBdw,http://www.youtube.com/channel/UCcAVvTTQHgyPAcjpJoXdBdw,MSI KHAN
UCcOTVI8YJJud1A6aRYrV4sg,http://www.youtube.com/channel/UCcOTVI8YJJud1A6aRYrV4sg,Aidin Robbins
UCccHjrZ3Db_471nivPDiICQ,http://www.youtube.com/channel/UCccHjrZ3Db_471nivPDiICQ,Dhaka Stream
UCckHqySbfy5FcPP6MD_S-Yg,http://www.youtube.com/channel/UCckHqySbfy5FcPP6MD_S-Yg,Times Of India
UCct9aR7HC79Cv2g-9oDOTLw,http://www.youtube.com/channel/UCct9aR7HC79Cv2g-9oDOTLw,ReligionForBreakfast
UCcxQHI0pPuOQWLaTJJZoBIQ,http://www.youtube.com/channel/UCcxQHI0pPuOQWLaTJJZoBIQ,ReYOUniverse
UCcyq283he07B7_KUX07mmtA,http://www.youtube.com/channel/UCcyq283he07B7_KUX07mmtA,Business Insider
UCczAxLCL79gHXKYaEc9k-ZQ,http://www.youtube.com/channel/UCczAxLCL79gHXKYaEc9k-ZQ,IMPERIAL
UCd6vEDS3SOhWbXZrxbrf_bw,http://www.youtube.com/channel/UCd6vEDS3SOhWbXZrxbrf_bw,SAMTIME
UCdPlmWCtoAs_4QsgY3OsK2w,http://www.youtube.com/channel/UCdPlmWCtoAs_4QsgY3OsK2w,Independent World
UCdsOTr6SmDrxuWE7sJFrkhQ,http://www.youtube.com/channel/UCdsOTr6SmDrxuWE7sJFrkhQ,BBC Earth Science
UCeDUXdhH7nfRQ_VxrdZBTSg,http://www.youtube.com/channel/UCeDUXdhH7nfRQ_VxrdZBTSg,Arif Jebtik
UCeG7m5-AJ4I0H4EIleIty4Q,http://www.youtube.com/channel/UCeG7m5-AJ4I0H4EIleIty4Q,Prothom Alo
UCeXYbpOvVX4huMMttMxjXxQ,http://www.youtube.com/channel/UCeXYbpOvVX4huMMttMxjXxQ,Explore Nature Today
UCelfWQr9sXVMTvBzviPGlFw,http://www.youtube.com/channel/UCelfWQr9sXVMTvBzviPGlFw,AI LABS
UCesV6-hlaWx4E7L1ke55pgA,http://www.youtube.com/channel/UCesV6-hlaWx4E7L1ke55pgA,Shikder Shaheb - শিকদার সাহেব 
UCf6oZ5g1QglnpG0GpBrjxSQ,http://www.youtube.com/channel/UCf6oZ5g1QglnpG0GpBrjxSQ,Buddha's Wisdom
UCfYW5GXBXueSO5p9bxD45qg,http://www.youtube.com/channel/UCfYW5GXBXueSO5p9bxD45qg,BBC Global
UCfgtOvlU2JFmiVDtnpGCcIg,http://www.youtube.com/channel/UCfgtOvlU2JFmiVDtnpGCcIg,CPDBangladesh
UCftwRNsjfRo08xYE31tkiyw,http://www.youtube.com/channel/UCftwRNsjfRo08xYE31tkiyw,WIRED
UCfxcQjjV4Ha0tTjBtsSAm-A,http://www.youtube.com/channel/UCfxcQjjV4Ha0tTjBtsSAm-A,BookBuzz
UChHPR16Z32Jq5MShYLBa3hA,http://www.youtube.com/channel/UChHPR16Z32Jq5MShYLBa3hA,Saving Country Houses 
UChPD2BQ2dJ-w00klQQkc-Qg,http://www.youtube.com/channel/UChPD2BQ2dJ-w00klQQkc-Qg,BBC News বাংলা
